id,tool,correctness,project,bug,base_dir,main_dep,tests_build,tests_src_dir,target_test,target_test_methods,target_class,input_class
patch1-Math-75-FixMiner,FixMiner,Correct,Math,75,Math75b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.FrequencyTest,testPcts,org.apache.commons.math.stat.Frequency,int
patch1-Math-30-FixMiner,FixMiner,Correct,Math,30,Math30b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.stat.inference.MannWhitneyUTestTest,testBigDataSet,org.apache.commons.math3.stat.inference.MannWhitneyUTest,int
patch1-Math-22-FixMiner,FixMiner,Correct,Math,22,Math22b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.distribution.RealDistributionAbstractTest,testIsSupportLowerBoundInclusive,org.apache.commons.math3.distribution.FDistribution,double
patch1-Math-57-FixMiner,FixMiner,Correct,Math,57,Math57b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testSmallDistances,org.apache.commons.math.stat.clustering.EuclideanIntegerPoint,int
patch1-Math-34-FixMiner,FixMiner,Correct,Math,34,Math34b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.genetics.ListPopulationTest,testIterator,org.apache.commons.math3.genetics.ListPopulation,int
patch1-Chart-14-ACS,ACS,Correct,Chart,14,Chart14b,build,build-tests,tests,org.jfree.chart.plot.junit.CategoryPlotTests,testRemoveRangeMarker,org.jfree.chart.plot.CategoryPlot,double
patch1-Time-15-ACS,ACS,Correct,Time,15,Time15b,build/classes,build/tests,src/test/java,org.joda.time.field.TestFieldUtils,testSafeMultiplyLongInt,org.joda.time.field.FieldUtils,int
patch1-Math-70-Cardumen,Cardumen,Correct,Math,70,Math70b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
patch1-Closure-73-kPAR,kPAR,Correct,Closure,73,Closure73b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.CodePrinterTest,testUnicode,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Chart-19-kPAR,kPAR,Correct,Chart,19,Chart19b,build,build-tests,tests,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisIndex,org.jfree.chart.plot.CategoryPlot,java.lang.String
patch1-Chart-1-kPAR,kPAR,Correct,Chart,1,Chart1b,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
patch1-Chart-4-kPAR,kPAR,Correct,Chart,4,Chart4b,build,build-tests,tests,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,org.jfree.chart.plot.XYPlot,int
patch1-Math-58-kPAR,kPAR,Correct,Math,58,Math58b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.fitting.GaussianFitterTest,testMath519,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer,double
patch1-Math-89-kPAR,kPAR,Correct,Math,89,Math89b,target/classes,target/test-classes,src/test,org.apache.commons.math.stat.FrequencyTest,testAddNonComparable,org.apache.commons.math.stat.Frequency,int
patch1-Math-75-kPAR,kPAR,Correct,Math,75,Math75b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.FrequencyTest,testPcts,org.apache.commons.math.stat.Frequency,int
patch1-Math-70-kPAR,kPAR,Correct,Math,70,Math70b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
patch1-Closure-73-AVATAR,AVATAR,Correct,Closure,73,Closure73b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.CodePrinterTest,testUnicode,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Closure-46-AVATAR,AVATAR,Correct,Closure,46,Closure46b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.rhino.jstype.JSTypeTest,testRecordTypeLeastSuperType2,com.google.javascript.rhino.jstype.RecordTypeBuilder,java.lang.String
patch1-Closure-62-AVATAR,AVATAR,Correct,Closure,62,Closure62b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorSpaceEndOfLine1,com.google.javascript.jscomp.LightweightMessageFormatter,java.lang.String
patch1-Closure-63-AVATAR,AVATAR,Correct,Closure,63,,,,,,,,
patch1-Chart-4-AVATAR,AVATAR,Correct,Chart,4,Chart4b,build,build-tests,tests,org.jfree.chart.plot.junit.XYPlotTests,testDrawRangeGridlines,org.jfree.chart.plot.XYPlot,int
patch1-Chart-19-AVATAR,AVATAR,Correct,Chart,19,Chart19b,build,build-tests,tests,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisIndex,org.jfree.chart.plot.CategoryPlot,java.lang.String
patch1-Chart-1-AVATAR,AVATAR,Correct,Chart,1,Chart1b,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
patch1-Chart-24-AVATAR,AVATAR,Correct,Chart,24,Chart24b,build,build-tests,tests,org.jfree.chart.renderer.junit.GrayPaintScaleTests,testGetPaint,org.jfree.chart.renderer.GrayPaintScale,double
patch1-Math-4-AVATAR,AVATAR,Correct,Math,4,Math4b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest,testIntersectionNotIntersecting,org.apache.commons.math3.geometry.euclidean.twod.Line,int
patch1-Math-59-AVATAR,AVATAR,Correct,Math,59,Math59b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.util.FastMathTest,testMinMaxFloat,org.apache.commons.math.util.FastMath,float
patch1-Math-89-AVATAR,AVATAR,Correct,Math,89,Math89b,target/classes,target/test-classes,src/test,org.apache.commons.math.stat.FrequencyTest,testAddNonComparable,org.apache.commons.math.stat.Frequency,int
patch1-Lang-6-AVATAR,AVATAR,Correct,Lang,6,Lang6b,target/classes,target/tests,src/test/java,org.apache.commons.lang3.StringUtilsTest,testEscapeSurrogatePairs,org.apache.commons.lang3.text.translate.CharSequenceTranslator,java.lang.String
patch1-Lang-7-AVATAR,AVATAR,Correct,Lang,7,Lang7b,target/classes,target/tests,src/test/java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumber,org.apache.commons.lang3.math.NumberUtils,java.lang.String
patch1-Math-98-Arja,Arja,Correct,Math,98,Math98b,target/classes,target/test-classes,src/test,org.apache.commons.math.linear.BigMatrixImplTest,testMath209,org.apache.commons.math.linear.BigMatrixImpl,int
patch1-Math-58-Arja,Arja,Correct,Math,58,Math58b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.fitting.GaussianFitterTest,testMath519,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer,double
patch1-Closure-126-RSRepair,RSRepair,Correct,Closure,126,Closure126b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Closure-62-SimFix,SimFix,Correct,Closure,62,Closure62b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorSpaceEndOfLine1,com.google.javascript.jscomp.LightweightMessageFormatter,java.lang.String
patch1-Closure-63-SimFix,SimFix,Correct,Closure,63,,,,,,,,
patch1-Closure-73-SimFix,SimFix,Correct,Closure,73,Closure73b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.CodePrinterTest,testUnicode,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Chart-1-SimFix,SimFix,Correct,Chart,1,Chart1b,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
patch1-Chart-7-SimFix,SimFix,Correct,Chart,7,Chart7b,build,build-tests,tests,org.jfree.data.time.junit.TimePeriodValuesTests,testGetMaxMiddleIndex,org.jfree.data.time.TimePeriodValues,long
patch1-Math-75-SimFix,SimFix,Correct,Math,75,Math75b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.FrequencyTest,testPcts,org.apache.commons.math.stat.Frequency,int
patch1-Math-57-SimFix,SimFix,Correct,Math,57,Math57b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testSmallDistances,org.apache.commons.math.stat.clustering.EuclideanIntegerPoint,int
patch1-Math-79-SimFix,SimFix,Correct,Math,79,Math79b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest,testPerformClusterAnalysisDegenerate,org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer,int
patch1-Math-59-SimFix,SimFix,Correct,Math,59,Math59b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.util.FastMathTest,testMinMaxFloat,org.apache.commons.math.util.FastMath,float
patch1-Math-5-SimFix,SimFix,Correct,Math,5,Math5b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.complex.ComplexTest,testReciprocalZero,org.apache.commons.math3.complex.Complex,double
patch1-Math-53-SimFix,SimFix,Correct,Math,53,Math53b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.complex.ComplexTest,testAddNaN,org.apache.commons.math.complex.Complex,double
patch1-Math-41-SimFix,SimFix,Correct,Math,41,Math41b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.stat.descriptive.UnivariateStatisticAbstractTest,testEvaluateArraySegmentWeighted,org.apache.commons.math.stat.descriptive.moment.Mean,int
patch1-Math-70-SimFix,SimFix,Correct,Math,70,Math70b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.BisectionSolverTest,testMath369,org.apache.commons.math.analysis.solvers.BisectionSolver,double
patch1-Lang-58-SimFix,SimFix,Correct,Lang,58,Lang58b,target/classes,target/test-classes,src/test,org.apache.commons.lang.math.NumberUtilsTest,testLang300,org.apache.commons.lang.math.NumberUtils,java.lang.String
patch1-Lang-43-SimFix,SimFix,Correct,Lang,43,Lang43b,target/classes,target/test-classes,src/test,org.apache.commons.lang.text.ExtendedMessageFormatTest,testBuiltInDateTimeFormat,org.apache.commons.lang.text.ExtendedMessageFormat,int
patch1-Lang-33-SimFix,SimFix,Correct,Lang,33,Lang33b,target/classes,target/test-classes,src/test,org.apache.commons.lang3.ClassUtilsTest,testToClass_object,org.apache.commons.lang3.ClassUtils,java.lang.String
patch1-Lang-39-SimFix,SimFix,Correct,Lang,39,Lang39b,target/classes,target/test-classes,src/test,org.apache.commons.lang3.StringUtilsTest,testReplace_StringStringArrayStringArray,org.apache.commons.lang3.StringUtils,java.lang.String
patch1-Closure-62-jMutRepair,jMutRepair,Correct,Closure,62,Closure62b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.LightweightMessageFormatterTest,testFormatErrorSpaceEndOfLine1,com.google.javascript.jscomp.LightweightMessageFormatter,java.lang.String
patch1-Closure-63-jMutRepair,jMutRepair,Correct,Closure,63,,,,,,,,
patch1-Chart-1-jMutRepair,jMutRepair,Correct,Chart,1,Chart1b,build,build-tests,tests,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests,test2947660,org.jfree.chart.renderer.category.LineAndShapeRenderer,java.lang.String
patch1-Math-85-jMutRepair,jMutRepair,Correct,Math,85,Math85b,target/classes,target/test-classes,src/test,org.apache.commons.math.distribution.NormalDistributionTest,testMath280,org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils,double
patch1-Math-82-jMutRepair,jMutRepair,Correct,Math,82,Math82b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath288,org.apache.commons.math.optimization.linear.SimplexSolver,double
patch1-Lang-46-Nopol,Nopol,Correct,Lang,46,Lang46b,target/classes,target/test-classes,src/test,org.apache.commons.lang.StringEscapeUtilsTest,testEscapeJavaWithSlash,org.apache.commons.lang.StringEscapeUtils,java.lang.String
patch1-Math-5-jGenProg,jGenProg,Correct,Math,5,Math5b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.complex.ComplexTest,testReciprocalZero,org.apache.commons.math3.complex.Complex,double
patch1-Math-53-jGenProg,jGenProg,Correct,Math,53,Math53b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.complex.ComplexTest,testAddNaN,org.apache.commons.math.complex.Complex,double
patch1-Closure-126-GenProg,GenProg,Correct,Closure,126,Closure126b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Closure-115-GenProg,GenProg,Correct,Closure,115,Closure115b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.InlineFunctionsTest,testBug4944818,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Math-50-DynaMoth,DynaMoth,Correct,Math,50,Math50b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
patch1-Chart-11-TBar,TBar,Correct,Chart,11,Chart11b,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
patch1-Math-11-TBar,TBar,Correct,Math,11,Math11b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest,testUnivariateDistribution,org.apache.commons.math3.distribution.MultivariateNormalDistribution,double
patch1-Math-65-TBar,TBar,Correct,Math,65,Math65b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest,testCircleFitting,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer,double
patch1-Lang-10-TBar,TBar,Correct,Lang,10,Lang10b,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
patch1-Lang-33-TBar,TBar,Correct,Lang,33,Lang33b,target/classes,target/test-classes,src/test,org.apache.commons.lang3.ClassUtilsTest,testToClass_object,org.apache.commons.lang3.ClassUtils,java.lang.String
patch1-Lang-47-TBar,TBar,Correct,Lang,47,Lang47b,target/classes,target/test-classes,src/test,org.apache.commons.lang.text.StrBuilderTest,testLang412Left,org.apache.commons.lang.text.StrBuilder,java.lang.String
patch1-Lang-7-TBar,TBar,Correct,Lang,7,Lang7b,target/classes,target/tests,src/test/java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumber,org.apache.commons.lang3.math.NumberUtils,java.lang.String
patch1-Chart-11-FixMiner,FixMiner,Correct,Chart,11,Chart11b,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
patch1-Chart-24-FixMiner,FixMiner,Correct,Chart,24,Chart24b,build,build-tests,tests,org.jfree.chart.renderer.junit.GrayPaintScaleTests,testGetPaint,org.jfree.chart.renderer.GrayPaintScale,double
patch1-Chart-19-ACS,ACS,Correct,Chart,19,Chart19b,build,build-tests,tests,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisIndex,org.jfree.chart.plot.CategoryPlot,java.lang.String
patch1-Math-35-ACS,ACS,Correct,Math,35,Math35b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.genetics.ElitisticListPopulationTest,testChromosomeListConstructorTooLow,org.apache.commons.math3.genetics.ElitisticListPopulation,double
patch1-Math-99-ACS,ACS,Correct,Math,99,Math99b,target/classes,target/test-classes,src/test,org.apache.commons.math.util.MathUtilsTest,testGcd,org.apache.commons.math.util.MathUtils,int
patch1-Math-85-ACS,ACS,Correct,Math,85,Math85b,target/classes,target/test-classes,src/test,org.apache.commons.math.distribution.NormalDistributionTest,testMath280,org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils,double
patch1-Math-90-ACS,ACS,Correct,Math,90,Math90b,target/classes,target/test-classes,src/test,org.apache.commons.math.stat.FrequencyTest,testAddNonComparable,org.apache.commons.math.stat.Frequency,int
patch1-Math-89-ACS,ACS,Correct,Math,89,Math89b,target/classes,target/test-classes,src/test,org.apache.commons.math.stat.FrequencyTest,testAddNonComparable,org.apache.commons.math.stat.Frequency,int
patch1-Math-3-ACS,ACS,Correct,Math,3,Math3b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.util.MathArraysTest,testLinearCombinationWithSingleElementArray,org.apache.commons.math3.util.MathArrays,double
patch1-Math-61-ACS,ACS,Correct,Math,61,Math61b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.distribution.PoissonDistributionTest,testMean,org.apache.commons.math.distribution.PoissonDistributionImpl,int
patch1-Math-82-ACS,ACS,Correct,Math,82,Math82b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.optimization.linear.SimplexSolverTest,testMath288,org.apache.commons.math.optimization.linear.SimplexSolver,double
patch1-Math-25-ACS,ACS,Correct,Math,25,Math25b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.optimization.fitting.HarmonicFitterTest,testMath844,org.apache.commons.math3.optimization.fitting.HarmonicFitter,int
patch1-Math-5-ACS,ACS,Correct,Math,5,Math5b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.complex.ComplexTest,testReciprocalZero,org.apache.commons.math3.complex.Complex,double
patch1-Lang-35-ACS,ACS,Correct,Lang,35,Lang35b,target/classes,target/tests,src/test/java,org.apache.commons.lang3.ArrayUtilsAddTest,testLANG571,org.apache.commons.lang3.ArrayUtils,java.lang.String
patch1-Lang-24-ACS,ACS,Correct,Lang,24,Lang24b,target/classes,target/tests,src/test/java,org.apache.commons.lang3.math.NumberUtilsTest,testIsNumber,org.apache.commons.lang3.math.NumberUtils,java.lang.String
patch1-Lang-7-ACS,ACS,Correct,Lang,7,Lang7b,target/classes,target/tests,src/test/java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumber,org.apache.commons.lang3.math.NumberUtils,java.lang.String
patch1-Chart-11-Cardumen,Cardumen,Correct,Chart,11,Chart11b,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
patch1-Closure-126-Kali,Kali,Correct,Closure,126,Closure126b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Closure-115-Kali,Kali,Correct,Closure,115,Closure115b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.InlineFunctionsTest,testBug4944818,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Math-50-Kali,Kali,Correct,Math,50,Math50b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
patch1-Closure-40-kPAR,kPAR,Correct,Closure,40,Closure40b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.NameAnalyzerTest,testIssue284,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Lang-7-kPAR,kPAR,Correct,Lang,7,Lang7b,target/classes,target/tests,src/test/java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumber,org.apache.commons.lang3.math.NumberUtils,java.lang.String
patch1-Closure-38-AVATAR,AVATAR,Correct,Closure,38,Closure38b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.CodePrinterTest,testMinusNegativeZero,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Closure-115-AVATAR,AVATAR,Correct,Closure,115,Closure115b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.InlineFunctionsTest,testBug4944818,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Closure-2-AVATAR,AVATAR,Correct,Closure,2,Closure2b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.TypeCheckTest,testBadInterfaceExtendsNonExistentInterfaces,com.google.javascript.jscomp.TypeCheck,java.lang.String
patch1-Chart-11-AVATAR,AVATAR,Correct,Chart,11,Chart11b,build,build-tests,tests,org.jfree.chart.util.junit.ShapeUtilitiesTests,testEqualGeneralPaths,org.jfree.chart.util.ShapeUtilities,float
patch1-Lang-10-AVATAR,AVATAR,Correct,Lang,10,Lang10b,target/classes,target/test-classes,src/test,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,org.apache.commons.lang3.time.FastDateParser,java.lang.String
patch1-Lang-57-AVATAR,AVATAR,Correct,Lang,57,Lang57b,target/classes,target/tests,src/test,org.apache.commons.lang.LocaleUtilsTest,testLanguagesByCountry,org.apache.commons.lang.LocaleUtils,java.lang.String
patch1-Closure-126-Arja,Arja,Correct,Closure,126,Closure126b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.MinimizeExitPointsTest,testDontRemoveBreakInTryFinally,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Closure-115-Arja,Arja,Correct,Closure,115,Closure115b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.InlineFunctionsTest,testBug4944818,com.google.javascript.jscomp.Compiler,java.lang.String
patch1-Chart-12-Arja,Arja,Correct,Chart,12,Chart12b,build,build-tests,tests,org.jfree.chart.plot.junit.MultiplePiePlotTests,testConstructor,org.jfree.chart.plot.MultiplePiePlot,int
patch1-Math-35-Arja,Arja,Correct,Math,35,Math35b,target/classes,target/test-classes,src/test/java,org.apache.commons.math3.genetics.ElitisticListPopulationTest,testChromosomeListConstructorTooLow,org.apache.commons.math3.genetics.ElitisticListPopulation,double
patch1-Math-50-Arja,Arja,Correct,Math,50,Math50b,target/classes,target/test-classes,src/test/java,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest,testIssue631,org.apache.commons.math.analysis.solvers.BaseSecantSolver,int
patch1-Closure-115-RSRepair,RSRepair,Correct,Closure,115,Closure115b,build/classes:lib/*:build/lib/rhino.jar,build/test,test,com.google.javascript.jscomp.InlineFunctionsTest,testBug4944818,com.google.javascript.jscomp.Compiler,java.lang.String
